Country,1900-1949,1950-1979,1980-1999,2000-2025
Wallis and Futuna Islands,0,0,0,0
Chile,0,3,9,26
Malaysia,0,4,8,66
Bolivia (Plurinational State of),0,8,12,44
Botswana,0,1,2,9
Ethiopia,0,4,20,38
Togo,0,0,5,10
Mongolia,0,1,3,11
Lao People's Democratic Republic,0,5,8,19
American Samoa,0,0,0,1
Uruguay,0,1,4,20
Malawi,0,3,8,35
Syrian Arab Republic,0,2,0,5
Venezuela (Bolivarian Republic of),0,1,11,31
Uganda,0,0,2,36
Madagascar,0,0,2,11
Ghana,0,1,4,25
Lesotho,0,0,3,2
Suriname,0,1,0,4
Costa Rica,0,3,7,21
Cyprus,0,0,0,1
Benin,0,1,10,12
Yemen Arab Republic,0,2,1,0
Hungary,0,1,4,11
Guyana,0,1,2,7
Cameroon,0,0,4,16
Papua New Guinea,0,0,5,15
Kiribati,0,0,0,2
Tuvalu,0,0,0,0
People's Democratic Republic of Yemen,0,1,4,0
Central African Republic,0,1,5,15
Rwanda,0,1,1,27
Sierra Leone,0,0,1,11
Sudan,0,2,14,28
Zimbabwe,0,0,1,12
Denmark,0,0,0,0
Sweden,0,1,1,1
Austria,0,0,7,10
Switzerland,0,1,4,4
Oman,0,0,0,6
Djibouti,0,2,4,3
Zambia,0,1,2,22
Nigeria,0,0,8,55
Democratic Republic of the Congo,0,0,4,44
C?te d¡¯Ivoire,0,0,2,14
Guinea,0,0,2,16
Liberia,0,0,1,6
Bulgaria,0,0,1,24
Czechoslovakia,0,0,2,0
Angola,0,0,1,44
Namibia,0,0,0,18
Eswatini,0,0,0,3
Ireland,0,0,2,5
Luxembourg,0,0,2,1
Congo,0,0,3,13
Sao Tome and Principe,0,0,0,1
German Democratic Republic,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Maldives,0,0,1,2
Democratic People's Republic of Korea,0,0,8,22
Micronesia (Federated States of),0,0,0,1
Cambodia,0,0,5,20
Gabon,0,0,1,2
Iceland,0,0,1,0
Burundi,0,0,1,32
United States Virgin Islands,0,0,0,0
Germany,0,0,6,12
Finland,0,0,0,1
Norway,0,0,1,4
Marshall Islands,0,0,0,2
Israel,0,0,2,3
Yemen,0,0,7,37
Serbia Montenegro,0,0,3,6
Tajikistan,0,0,6,28
Russian Federation,0,0,16,55
Ukraine,0,0,6,12
Lithuania,0,0,0,2
Eritrea,0,0,0,2
Kazakhstan,0,0,1,14
Belarus,0,0,3,2
"China, Macao Special Administrative Region",0,0,0,0
Turkmenistan,0,0,1,0
North Macedonia,0,0,1,10
Republic of Moldova,0,0,3,4
Bhutan,0,0,1,3
Azerbaijan,0,0,4,3
Georgia,0,0,4,16
Libya,0,0,1,3
British Virgin Islands,0,0,0,0
French Guiana,0,0,1,1
Czechia,0,0,3,14
Armenia,0,0,2,2
Slovakia,0,0,3,11
Seychelles,0,0,1,1
Kuwait,0,0,1,1
Kyrgyzstan,0,0,1,6
Bosnia and Herzegovina,0,0,0,21
Latvia,0,0,0,1
Croatia,0,0,0,14
Uzbekistan,0,0,0,3
Timor-Leste,0,0,0,5
Saint Helena,0,0,0,0
Cayman Islands,0,0,0,0
Northern Mariana Islands,0,0,0,0
Slovenia,0,0,0,6
Estonia,0,0,0,0
Serbia,0,0,0,20
Montenegro,0,0,0,4
South Sudan,0,0,0,16
State of Palestine,0,0,0,3
Palau,0,0,0,0
Saint Barth¨¦lemy,0,0,0,0
Saint Martin (French Part),0,0,0,0
Sint Maarten (Dutch part),0,0,0,0
United Arab Emirates,0,0,0,3
Qatar,0,0,0,1
Malta,0,0,0,0
Liechtenstein,0,0,0,0
Mayotte,0,0,0,0
Equatorial Guinea,0,0,0,1
