Country,1900-1949,1950-1979,1980-1999,2000-2025
Sao Tome and Principe,0,0,1,0
German Democratic Republic,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Maldives,0,0,0,0
Democratic People's Republic of Korea,0,0,0,3
Micronesia (Federated States of),0,0,1,2
Cambodia,0,0,2,4
Gabon,0,0,0,0
Iceland,0,0,0,0
Burundi,0,0,1,5
United States Virgin Islands,0,0,0,0
Germany,0,0,0,0
Finland,0,0,0,0
Norway,0,0,0,0
Marshall Islands,0,0,0,4
Israel,0,0,1,0
Yemen,0,0,0,0
Serbia Montenegro,0,0,0,0
Tajikistan,0,0,0,2
Russian Federation,0,0,1,3
Ukraine,0,0,0,1
Lithuania,0,0,1,2
Eritrea,0,0,2,1
Kazakhstan,0,0,0,1
Belarus,0,0,0,0
"China, Macao Special Administrative Region",0,0,0,0
Turkmenistan,0,0,0,0
North Macedonia,0,0,1,0
Republic of Moldova,0,0,0,3
Bhutan,0,0,0,0
Azerbaijan,0,0,0,1
Georgia,0,0,0,1
Libya,0,0,0,0
British Virgin Islands,0,0,0,0
French Guiana,0,0,0,0
Czechia,0,0,0,0
Armenia,0,0,0,1
Slovakia,0,0,0,0
Seychelles,0,0,0,0
Kuwait,0,0,0,0
Kyrgyzstan,0,0,0,1
Bosnia and Herzegovina,0,0,0,2
Latvia,0,0,0,0
Croatia,0,0,0,1
Uzbekistan,0,0,0,1
Timor-Leste,0,0,0,2
Saint Helena,0,0,0,0
Cayman Islands,0,0,0,0
Northern Mariana Islands,0,0,0,0
Slovenia,0,0,0,0
Estonia,0,0,0,0
Serbia,0,0,0,0
Montenegro,0,0,0,0
South Sudan,0,0,0,3
State of Palestine,0,0,0,0
Palau,0,0,0,1
Saint Barth¨¦lemy,0,0,0,0
Saint Martin (French Part),0,0,0,0
Sint Maarten (Dutch part),0,0,0,0
United Arab Emirates,0,0,0,0
Qatar,0,0,0,0
Malta,0,0,0,0
Liechtenstein,0,0,0,0
Mayotte,0,0,0,0
Equatorial Guinea,0,0,0,0
